,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
5206,3.19172E+18,1.23767E+18,195.1217556,27.19667987,23.86560249,21.75072098,21.87521553,21.91690254,22.17289162,24.08555031,-999,STAR,A4V (136729)
5207,3.19172E+18,1.23767E+18,195.3680496,26.77671499,22.11875916,21.56473923,21.68584061,21.73567772,21.15594101,23.42086983,-999,QSO,BROADLINE
5208,2.50587E+18,1.23766E+18,185.3702298,14.81392112,24.68250275,22.08070374,21.66468811,21.87379837,22.19512177,22.38876724,-999,STAR,F0V (90277)
5221,3.86775E+18,1.23767E+18,201.3132423,21.76781926,23.55518913,21.28701019,20.84059715,20.86528397,20.76044846,23.0283432,-999,STAR,G0 (G_101-29)
5222,6.37855E+18,1.23767E+18,208.5788718,23.54778602,21.9722023,21.40949631,21.27128029,21.16413116,21.13192558,22.84679985,-999,QSO,BROADLINE
5231,6.37855E+18,1.23767E+18,207.7116042,23.80960394,22.11504173,21.25945091,21.04624557,21.01958275,20.87489891,22.5364418,-999,STAR,B3Ib/II (51309)
5233,3.15604E+18,1.23767E+18,183.8700391,22.32274177,23.47150803,21.88923836,20.24140167,19.32310104,18.81862068,23.7609539,-999,QSO,BROADLINE
5239,6.37873E+18,1.23767E+18,189.9705048,22.42955621,22.77347755,21.73174858,21.56977654,21.54482651,21.303936,22.34700203,-999,QSO,null
5240,6.37873E+18,1.23767E+18,190.0884909,22.53926675,21.49882507,21.39110565,21.08472061,20.77567291,20.56385803,22.01270676,-999,QSO,BROADLINE
5242,6.37862E+18,1.23767E+18,198.9551695,18.93786418,21.95278931,21.08677864,20.85565948,20.47701263,20.31800461,21.7243309,-999,QSO,BROADLINE
5247,6.37855E+18,1.23767E+18,205.7533402,26.67938424,21.33064842,21.01596069,21.04291534,21.22979164,20.73620415,23.21804619,-999,QSO,BROADLINE
5248,6.37855E+18,1.23767E+18,206.1045292,26.25535408,22.51556587,21.75429535,21.55970764,21.52977943,21.20057869,22.16075134,-999,QSO,null
5251,3.86954E+18,1.23767E+18,206.2310717,27.45000074,21.68657684,21.27404976,21.40560341,21.21785164,21.14295959,22.58327866,-999,QSO,BROADLINE
5252,6.37855E+18,1.23767E+18,205.7533402,26.67938424,21.33064842,21.01596069,21.04291534,21.22979164,20.73620415,23.21804619,-999,QSO,BROADLINE
5253,3.86916E+18,1.23767E+18,205.5078611,27.38359773,21.35580063,20.48797798,20.25345421,20.24324226,20.30537415,22.88033295,-999,STAR,F0IV (81937)
5256,3.86916E+18,1.23767E+18,205.0473653,27.39066832,22.79716682,21.73792839,21.65945435,21.81768799,21.53669739,22.81397629,-999,STAR,B2.5Ve (187811)
5264,6.37873E+18,1.23767E+18,191.7312773,20.98807134,21.41954041,20.87111473,20.64842987,20.62144089,20.14919472,21.09906578,22.03299522,QSO,BROADLINE
5265,6.37873E+18,1.23767E+18,191.1055085,22.42641717,20.86847687,19.98017311,19.86904526,19.8550663,19.71265602,22.1954689,-999,STAR,A1III (225180)
5267,6.37873E+18,1.23767E+18,192.4681322,23.18645006,22.34390259,21.9743557,21.79724503,21.87585831,21.16539383,22.63971519,-999,QSO,null
5269,6.37873E+18,1.23767E+18,184.0133344,24.3725548,23.24936104,22.17338943,20.84495926,19.84044647,19.36917686,21.01795578,-999,STAR,M1 (204445)
5271,3.0589E+18,1.23767E+18,205.7382701,28.70486227,21.36786842,20.60108376,20.30431938,20.2826786,20.30451584,23.30818939,-999,STAR,G0 (G_101-29)
5275,6.37873E+18,1.23767E+18,192.6365393,24.31071282,20.56737518,20.3844986,20.36183929,20.09488678,20.05003929,22.2345314,-999,QSO,BROADLINE
5277,6.37862E+18,1.23767E+18,193.5404906,24.170055,22.17696571,21.65267944,21.44798279,21.46302605,20.81784248,21.80392265,-999,QSO,BROADLINE
5280,6.37862E+18,1.23767E+18,193.7496544,24.65373591,20.51096725,20.34065056,19.97203827,19.9985199,19.74333,20.58391953,-999,QSO,BROADLINE
5285,6.37862E+18,1.23767E+18,195.4035031,23.24092407,21.52704048,21.00030136,20.91515541,20.64089203,20.39989471,-999,21.37488174,QSO,BROADLINE
5286,6.37862E+18,1.23767E+18,195.4955024,22.27122917,20.56456375,19.77265167,19.65826988,19.51444817,19.68873215,22.75920105,-999,QSO,BROADLINE
5288,6.37862E+18,1.23767E+18,196.1279058,23.80831015,21.61873245,21.11765099,21.10389137,20.92484093,20.35555267,21.45190811,22.36591721,QSO,BROADLINE
5290,6.37855E+18,1.23767E+18,207.9002249,21.28862499,21.02138519,20.37860298,20.23995018,20.15505791,20.10945511,22.12536621,-999,STAR,CV
5294,3.86099E+18,1.23767E+18,184.1436244,26.56109211,22.4991188,20.99206924,20.29268837,19.37169456,19.07896233,22.24673843,-999,STAR,M5III (221615)
5304,3.08331E+18,1.23767E+18,178.8078827,23.31880558,20.90428543,20.19678307,19.85338211,19.59725189,19.36429214,22.37061691,-999,QSO,null
5305,6.37862E+18,1.23767E+18,196.141848,22.39797094,22.10857201,20.6724472,20.42248344,20.37961197,20.18286896,-999,21.93048668,QSO,null
5307,3.8699E+18,1.23767E+18,207.6636249,26.41059797,21.93421555,21.24927902,21.12985229,20.95569611,20.26750755,22.94754028,-999,QSO,null
5309,6.37866E+18,1.23766E+18,200.2269862,14.34337005,21.63434219,21.1557579,20.99079132,21.06489182,20.72799683,22.85604477,-999,QSO,null
5310,6.37866E+18,1.23766E+18,200.8388544,14.75445712,21.87499428,21.24098015,21.00427818,20.87560654,20.25318718,22.18228531,-999,QSO,null
5314,3.08331E+18,1.23767E+18,178.7206754,23.37119824,21.90617561,20.36072922,20.22684097,20.07439423,20.07222748,23.17218399,-999,STAR,F3/F5V (30743)
5315,3.87035E+18,1.23767E+18,208.8323348,26.42964784,20.92845345,20.20811844,20.27420807,20.13160896,19.83635139,22.35850525,-999,QSO,BROADLINE
5316,3.23883E+18,1.23767E+18,186.6219013,27.41700817,20.78655434,20.24901009,19.97613907,19.97995758,19.8527813,22.98742676,-999,STAR,WDcooler
5319,6.37866E+18,1.23766E+18,201.0509821,15.5717267,21.07496452,21.63234329,20.37753868,20.3633728,19.95022774,20.74165535,21.80126381,QSO,null
5320,6.37887E+18,1.23767E+18,178.7024085,24.96475638,21.23195457,20.53069115,20.37322807,20.47955132,20.1671772,-999,21.93141937,QSO,BROADLINE
5321,6.37862E+18,1.23767E+18,198.4365338,22.66699593,21.07349014,20.73073196,20.65576744,20.55315208,20.08014107,21.3146019,-999,QSO,BROADLINE
5324,6.37862E+18,1.23767E+18,200.1458544,22.64256865,21.80337906,21.04805565,20.86592865,20.89492416,20.73332024,22.46998787,-999,STAR,A4V (136729)
5325,6.37862E+18,1.23767E+18,199.4714671,21.83729838,22.2898407,21.93812561,21.79411507,21.91066933,21.84441185,22.91147041,-999,QSO,null
5326,6.37862E+18,1.23767E+18,199.3581606,21.77879145,21.67630386,21.32263756,21.16714859,21.2441864,21.06025887,21.88067055,-999,QSO,null
5327,3.8699E+18,1.23767E+18,207.8701594,27.34213161,26.49671936,21.88932991,20.47499275,19.53129578,19.30880928,23.2180233,-999,QSO,BROADLINE
5329,3.8699E+18,1.23767E+18,207.6636249,26.41059797,21.93421555,21.24927902,21.12985229,20.95569611,20.26750755,22.94754028,-999,QSO,null
5330,6.37932E+18,1.23767E+18,207.1183493,27.39886996,21.41471863,21.15026474,21.11771202,21.06677437,21.09846306,23.34734535,-999,QSO,BROADLINE
5332,6.37862E+18,1.23767E+18,197.8747662,23.53289012,22.57157516,21.8288784,20.55760384,19.64187813,19.44399261,22.80308914,-999,QSO,AGN BROADLINE
5334,6.37862E+18,1.23767E+18,198.4365338,22.66699593,21.07349014,20.73073196,20.65576744,20.55315208,20.08014107,21.3146019,-999,QSO,BROADLINE
5340,6.37929E+18,1.23767E+18,207.7552462,28.075108,20.58517075,20.07660294,20.07325363,20.00719643,19.74248695,21.70269585,-999,QSO,BROADLINE
