galex_objid,sdss_objid,ra,dec,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,subclass
2.54162E+18,1.23767E+18,197.0852782,29.93621507,21.18664742,20.65637016,20.56212044,20.56416321,20.08216667,0.047783524,0.037232596,0.025757339,0.019140463,0.014236988,23.74390411,-999,QSO,BROADLINE
2.54162E+18,1.23767E+18,196.6311945,29.96115569,21.69095993,21.0625248,21.09521294,21.13753128,20.50819397,0.043616664,0.033985808,0.023511223,0.01747136,0.012995481,24.5861969,-999,QSO,BROADLINE
2.54162E+18,1.23767E+18,196.6737709,29.99222152,20.84655952,20.18860054,19.87095642,19.55519676,19.63760376,0.042651754,0.033233959,0.022991098,0.01708485,0.01270799,22.76729202,23.13951874,QSO,BROADLINE
2.54162E+18,1.23767E+18,196.4035572,30.17048937,21.88749886,20.97106743,19.59684563,18.73521042,18.39918518,0.051762111,0.040332686,0.027901964,0.02073415,0.015422398,23.05623817,23.66768265,QSO,AGN BROADLINE
2.54162E+18,1.23767E+18,196.4035572,30.17048937,21.88749886,20.97106743,19.59684563,18.73521042,18.39918518,0.051762111,0.040332686,0.027901964,0.02073415,0.015422398,23.05623817,23.66768265,QSO,AGN BROADLINE
2.54169E+18,1.23767E+18,195.45099,29.2214282,22.03620148,21.11907768,20.52953911,19.8038311,19.67266464,0.053041965,0.041329939,0.02859186,0.021246817,0.015803728,-999,24.18621063,QSO,BROADLINE
2.54172E+18,1.23767E+18,197.1868832,28.90328659,25.12054062,22.00627708,20.53967285,19.69483757,19.26282883,0.042342599,0.032993067,0.022824451,0.016961014,0.012615877,24.01319122,-999,GALAXY,null
2.54172E+18,1.23767E+18,196.9276292,29.32677461,21.49645424,20.77507019,20.62163353,20.62910271,20.58229828,0.034996487,0.027269024,0.018864585,0.014018409,0.01042712,24.70723724,-999,QSO,null
2.54172E+18,1.23767E+18,197.4595995,29.51075549,26.22198868,22.32720947,20.26503563,19.2402668,19.08288383,0.033626981,0.026201915,0.018126363,0.01346983,0.010019079,24.82274437,-999,GALAXY,null
2.54172E+18,1.23767E+18,196.8998725,29.71160871,23.22909355,22.2994442,20.92673492,20.08295441,19.32252312,0.037353355,0.029105483,0.020135038,0.014962491,0.011129345,24.37615013,-999,GALAXY,null
2.54172E+18,1.23767E+18,197.4293967,29.88042516,21.67746544,21.50852203,20.14197731,19.16849136,18.88318443,0.043560196,0.033941809,0.023480786,0.01744874,0.012978657,23.19395828,-999,GALAXY,null
2.54172E+18,1.23767E+18,197.5526574,29.5788449,21.18827438,20.35566521,20.58232498,20.50654411,20.16918373,0.040562019,0.03160565,0.021864643,0.016247774,0.012085359,23.01512337,23.7810154,QSO,BROADLINE
2.54172E+18,1.23767E+18,197.5045661,29.8090203,22.6390419,21.8548317,20.57401276,19.7798233,19.68047333,0.042449303,0.033076208,0.022881968,0.017003754,0.01264767,22.43991089,24.17307091,GALAXY,null
2.55572E+18,1.23767E+18,194.4470242,27.37519186,25.41530228,21.21360779,19.47690773,18.80431557,18.42688179,0.043773886,0.034108315,0.023595974,0.017534338,0.013042326,24.18669891,-999,GALAXY,null
2.55572E+18,1.23767E+18,193.8371894,27.66914961,19.64495659,18.00144196,17.26578903,16.91673088,16.64141655,0.04577139,0.035664756,0.024672713,0.018334471,0.013637478,22.25968552,-999,GALAXY,null
2.55572E+18,1.23767E+18,193.8371894,27.66914961,19.64495659,18.00144196,17.26578903,16.91673088,16.64141655,0.04577139,0.035664756,0.024672713,0.018334471,0.013637478,22.25968552,-999,GALAXY,null
2.58746E+18,1.23767E+18,187.2525892,33.17948623,20.30101776,20.01856041,19.92964554,19.58363152,19.53263855,0.066363931,0.051710326,0.035772964,0.026583146,0.019772978,23.17612267,-999,QSO,BROADLINE
2.58746E+18,1.23767E+18,187.1214371,33.29174602,22.20762634,21.84977341,20.35839653,19.60094833,19.21476936,0.072926491,0.056823827,0.039310459,0.029211884,0.021728275,23.3611393,-999,GALAXY,AGN
2.58746E+18,1.23767E+18,186.9811866,33.75756628,22.56077385,21.73196983,20.30845833,19.51517868,18.96469879,0.074508369,0.058056418,0.040163163,0.029845534,0.022199593,24.63753891,-999,GALAXY,null
