galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
3.0571E+18,1.23767E+18,191.2387224,32.68123563,22.70294189,20.14649391,18.64083099,18.02005577,17.66821098,22.15934181,-999,GALAXY,null
3.05714E+18,1.23767E+18,191.0703279,33.88523484,24.29670906,22.1696701,20.49581146,19.44978333,18.91585922,24.29512024,-999,GALAXY,null
3.05714E+18,1.23767E+18,191.5224522,33.96040207,23.08116341,21.19016838,20.89982986,20.84404564,20.9183712,23.16935921,-999,STAR,F0IV (81937)
3.05714E+18,1.23767E+18,191.4244846,33.97358598,21.72736359,20.98414421,20.61769867,20.43444633,20.14445686,23.93123436,-999,STAR,F8V (G_243-63)
3.05714E+18,1.23767E+18,190.9187534,34.05254697,22.83089638,21.08976936,20.41327667,19.495924,19.37809753,23.12998009,-999,GALAXY,null
3.05714E+18,1.23767E+18,190.968148,34.18887432,21.9057312,20.3035984,18.65535927,17.98089027,17.55944061,23.77157021,-999,GALAXY,null
3.05714E+18,1.23767E+18,191.5714601,34.38798495,21.65218544,20.54663658,18.86665916,18.24563789,17.82973099,24.36501884,-999,GALAXY,null
3.05714E+18,1.23767E+18,191.493531,34.45312336,22.14904404,20.61029625,18.88653946,18.31256485,17.93540573,23.99714661,-999,GALAXY,null
3.05714E+18,1.23767E+18,191.3245236,34.47921316,23.70957184,21.89785957,20.83176804,19.87408066,19.22318459,23.11698151,-999,GALAXY,null
3.05714E+18,1.23767E+18,190.82439,34.60221553,21.46784592,20.75497055,20.42336655,20.26274681,19.96202469,23.72594261,-999,STAR,A5II (34578)
3.05714E+18,1.23767E+18,191.0481625,34.61049182,23.24438858,21.91651344,20.53865814,19.73789978,19.31456757,23.17200851,-999,GALAXY,null
3.05714E+18,1.23767E+18,191.6425671,34.21406811,21.20677757,20.6139431,20.5693779,20.48258209,20.0502243,-999,23.59638405,QSO,BROADLINE
3.05714E+18,1.23767E+18,191.2707532,34.50333504,21.47290611,20.73379135,20.81771278,20.93625641,20.8237915,22.90730286,24.0200634,STAR,A1V (95418)
3.05721E+18,1.23766E+18,191.3002979,36.40946195,22.5341835,21.1036911,21.12149429,20.96621704,20.95750809,23.98537827,-999,QSO,null
3.05721E+18,1.23766E+18,191.4802416,36.4287637,22.18538094,22.17609215,20.45195007,19.60207367,18.99525833,23.35391617,-999,GALAXY,null
3.05721E+18,1.23766E+18,191.4625384,36.44977756,24.33814812,21.20987892,20.75513458,20.58334541,20.65679169,24.01661682,-999,STAR,F3/F5V (30743)
3.05721E+18,1.23766E+18,191.5817799,36.45971799,22.52293968,22.39429665,20.77449989,19.87133026,19.54601097,23.76340866,-999,GALAXY,STARFORMING
3.05721E+18,1.23766E+18,192.2237359,36.71146716,21.03876877,19.96114922,19.83683968,19.67615128,19.81940079,22.99614906,-999,STAR,A8V (155514)
3.05721E+18,1.23766E+18,192.2237359,36.71146716,21.03876877,19.96114922,19.83683968,19.67615128,19.81940079,22.99614906,-999,STAR,A0
3.05721E+18,1.23766E+18,192.386769,36.72253637,24.68017006,22.03420448,20.68830299,19.63517952,19.17176628,23.98921967,-999,GALAXY,null
3.05721E+18,1.23766E+18,191.5504164,36.72863557,22.85794067,21.91968346,21.55282402,21.39221382,20.91315269,24.11800003,-999,QSO,null
3.05721E+18,1.23766E+18,192.2266769,36.74951849,25.43536186,22.16374016,21.06562233,19.8909111,19.41791725,23.86648369,-999,GALAXY,null
3.05721E+18,1.23766E+18,191.9353897,36.75686148,22.40380669,21.19751358,19.867239,19.11457825,18.64288139,23.93196869,-999,GALAXY,null
3.05721E+18,1.23766E+18,192.1936299,36.79223671,22.9356575,21.51405334,20.46442604,19.56513786,19.04790688,24.0359211,-999,GALAXY,null
3.05721E+18,1.23766E+18,191.8990366,36.82575124,25.8783493,22.49672318,20.77575874,19.62248802,19.04527092,23.99179459,-999,GALAXY,null
3.05721E+18,1.23766E+18,191.1232103,36.68222088,24.42917252,22.312994,20.38678551,19.47065544,18.99225235,-999,23.72152328,GALAXY,null
3.05728E+18,1.23766E+18,196.2875499,37.66073271,22.63921547,22.3961792,20.95365906,19.63771439,19.12394524,23.79667091,-999,GALAXY,null
3.05728E+18,1.23766E+18,196.5373334,38.01903282,21.60411072,20.34306908,20.14137268,20.03739548,20.03185654,23.46540642,-999,STAR,F2III (89254)
3.05728E+18,1.23766E+18,196.2276088,37.22447992,25.26698494,21.91077232,20.13827515,19.24995422,18.72038078,-999,23.79301453,GALAXY,null
3.05728E+18,1.23766E+18,195.8951603,37.74260991,18.69344139,17.72001076,17.32896996,17.11771393,16.98325348,19.35221863,19.45767021,GALAXY,STARFORMING
3.05728E+18,1.23766E+18,195.7482847,37.76483619,21.2072773,20.82705688,20.67708969,20.71277618,20.34615707,20.5467186,21.36726952,QSO,BROADLINE
3.05759E+18,1.23767E+18,204.9987641,24.36629559,23.30517387,21.77576447,20.385252,19.51055527,19.12489891,23.89078903,-999,GALAXY,null
3.05759E+18,1.23767E+18,204.9625087,24.69277731,24.78718185,21.95811272,20.5069046,19.56518936,18.96875763,23.73944664,-999,GALAXY,null
3.05876E+18,1.23767E+18,182.5025374,18.35178838,22.57317734,22.1194725,21.04370117,19.99045563,19.67351151,22.02189827,-999,GALAXY,null
3.05876E+18,1.23767E+18,182.326621,18.3931988,26.49733162,23.08247566,21.60409164,20.08957291,20.16587639,24.39975166,-999,QSO,null
3.05876E+18,1.23767E+18,182.5254308,18.39411989,24.17258263,21.44649887,21.26950455,21.33543777,22.26163483,23.30753899,-999,STAR,F0III (89025)
3.05876E+18,1.23767E+18,182.4968966,18.48632573,21.98875618,20.72413445,20.60882187,20.44315529,20.40641975,22.94584465,-999,STAR,A6IV (28527)
3.05876E+18,1.23767E+18,182.4617884,18.77844037,23.07704353,22.53763008,20.83688354,19.7746048,19.31932259,24.34483719,-999,GALAXY,null
3.0589E+18,1.23767E+18,205.965784,28.27839174,21.27909279,20.45803833,20.05382919,19.95260811,19.91553497,22.77925682,-999,STAR,F5
3.0589E+18,1.23767E+18,205.1464852,28.42055284,23.95560646,22.70010567,21.18981743,20.01934242,19.47338295,24.20445633,-999,GALAXY,null
3.0589E+18,1.23767E+18,205.2351759,28.48076126,21.15755844,20.30571175,20.08267403,20.00778008,20.06175995,23.81710052,-999,STAR,F2
3.0589E+18,1.23767E+18,205.6717046,28.53413411,20.46879387,19.63339806,19.41819,19.28189278,19.17250824,22.48159027,-999,STAR,F5
3.0589E+18,1.23767E+18,205.2704921,28.88482225,20.97471428,20.14208412,19.84450912,19.71129799,19.89801598,22.34506607,-999,STAR,L5.5
3.0589E+18,1.23767E+18,205.6974952,27.87565076,22.52884483,21.35151291,19.97038078,19.23376656,18.87883759,-999,23.61506653,GALAXY,null
3.0589E+18,1.23767E+18,205.4703834,28.87743296,20.83753967,18.97998428,17.61408615,17.05560684,16.71233177,-999,24.06939507,GALAXY,null
3.0589E+18,1.23767E+18,205.8816064,27.9582398,21.31450081,19.44826889,18.03279495,17.49072075,17.10772705,22.76358795,23.37649155,GALAXY,AGN
3.0589E+18,1.23767E+18,205.2601197,28.69036684,21.58746338,19.45401192,18.05055237,17.52070808,17.1429348,22.70022392,23.42316628,GALAXY,null
3.06062E+18,1.23767E+18,201.4802998,26.99556629,24.84119225,21.48943329,19.82872009,19.0464859,18.61653328,24.91643715,-999,GALAXY,null
3.06062E+18,1.23767E+18,200.8745205,27.19413266,23.77632904,21.91166687,21.73836327,21.68813324,21.51320648,24.10281754,-999,QSO,null
3.06062E+18,1.23767E+18,200.8745205,27.19413266,23.77632904,21.91166687,21.73836327,21.68813324,21.51320648,24.10281754,-999,QSO,null
3.06062E+18,1.23767E+18,201.2495309,27.41066794,22.77313232,21.55504799,21.43855858,21.47567368,21.32290268,24.4252491,-999,STAR,sdF3 (140283)
3.06062E+18,1.23767E+18,201.2495309,27.41066794,22.77313232,21.55504799,21.43855858,21.47567368,21.32290268,24.4252491,-999,QSO,null
3.06062E+18,1.23767E+18,201.6888805,27.53593643,24.38174629,22.76872826,20.82590103,19.89898682,19.47835159,25.54676056,-999,GALAXY,null
3.06062E+18,1.23767E+18,201.071742,27.9090148,21.04203606,21.84261703,20.14097595,18.89933777,18.32939148,24.12617493,-999,GALAXY,null
3.06062E+18,1.23767E+18,200.802081,27.14523416,25.58259201,21.14367676,19.39908218,18.73624611,18.3611412,24.80243874,25.38123131,GALAXY,null
3.06062E+18,1.23767E+18,200.9679684,27.49664629,21.67515564,20.40075111,18.82997131,18.21972656,17.82733727,23.75486755,24.71580124,GALAXY,null
3.06143E+18,1.23767E+18,185.1294437,19.00487226,23.49838257,21.90386963,20.73607826,19.68388176,19.24450493,23.63768196,-999,GALAXY,null
3.06143E+18,1.23767E+18,184.2431079,19.05177248,24.1198349,22.51440811,20.97639656,19.93935776,19.30496979,23.98429298,-999,GALAXY,null
3.06143E+18,1.23767E+18,184.1621209,19.05377471,21.45537567,20.73596954,20.51488113,20.47501755,20.27209473,23.7343998,-999,STAR,A1III (225180)
3.06143E+18,1.23767E+18,184.9235784,19.24622062,25.29575348,23.62368393,21.27811432,19.70558167,19.33787155,22.12438393,-999,GALAXY,null
3.06143E+18,1.23767E+18,184.0363286,19.32097325,22.69590569,21.62183952,21.52900505,21.44848824,22.07303429,24.25266075,-999,STAR,F0V (90277)
3.06143E+18,1.23767E+18,184.8949066,19.41332704,24.55102158,21.72897148,20.00405502,19.1731739,18.91449738,23.78156662,-999,GALAXY,null
3.06143E+18,1.23767E+18,184.8473888,19.58719684,21.42193413,19.6143074,19.28374481,18.9142437,19.19532967,22.35154533,-999,GALAXY,null
3.06143E+18,1.23767E+18,184.5697779,19.73166515,21.39509583,20.80552864,20.66071701,20.71377182,20.62035561,22.83859444,-999,STAR,A1III (225180)
3.06143E+18,1.23767E+18,183.9958229,19.16783624,20.18462181,18.281847,17.29666328,16.87942886,16.55544472,-999,22.41352844,GALAXY,null
3.06143E+18,1.23767E+18,184.7750821,18.84942262,23.26457977,22.71455956,21.00275612,19.96936989,19.61222839,23.90937614,23.77154541,GALAXY,null
3.06143E+18,1.23767E+18,184.8629771,19.31814891,21.66851234,20.50777435,19.68635941,18.99121666,18.75105667,23.40667915,23.33279991,GALAXY,STARFORMING
3.0615E+18,1.23767E+18,183.1977457,20.23729946,22.43473434,20.92078972,20.73719788,20.66114235,20.52854156,23.63800049,-999,STAR,F2V (33256)
